Sparsity,Accuracy
0.00E+00,7.43E-01
3.17E-01,7.27E-01
5.88E-01,7.57E-01
7.68E-01,7.19E-01
8.52E-01,7.22E-01
8.80E-01,6.26E-01
8.86E-01,3.98E-01
8.88E-01,2.24E-01
8.88E-01,1.92E-01
8.89E-01,1.92E-01
